ID,Company Name,Website,Sub-Domain,
99,GDPR-SDK,http://www.gdpr-sdk.com/,N/A,
100,Cambium Media,www.cambium-media.com/solutions/ ,cambiummedia.mgr.consensu.org,
101,Eulerian Technologies,www.eulerian.com,Eulerian.mgr.consensu.org,
102,GDPR Consult Plc,gdpr-protection.com/,consens.mgr.consensu.org,
103,Serinus42 B.V.,www.serinus42.com,downdetector.mgr.consensu.org,
104,Gemius SA,www.gemius.com,gemius.mgr.consensu.org,
105,DAILYMOTION SA,www.dailymotion.com,dailymotion.mgr.consensu.org,
108,Trunomi,www.trunomi.com,Trunomi.mgr.consensu.org,
111,Vinted UAB,www.vinted.lt,vinted.mgr.consensu.org,
112,Guardian News and Media,www.theguardian.com,gnm.mgr.consensu.org,
113,"Grand Play Media, LLC",https://www.ultimate-guitar.com/,musiciansaudience.mgr.consensu.org
114,"Adversal Media, Inc.",www.adversal.com,adversal.mgr.consensu.org
115,A-lehdet Oy,www.a-lehdet.fi/,a-lehdet.mgr.consensu.org,
116,Location Sciences AI Ltd,www.locationsciences.ai,locationsciences.mgr.consensu.org,
118,"Sonobi, Inc.",https://sonobi.com/,Sonobi.mgr.consensu.org
119,"Curiosity Media, Inc.",http://www.curiositymedia.com/,curiositymedia.mgr.consensu.org
120,BlueConic,www.blueconic.com,blueconic.mgr.consensu.org,
121,"Proper Media, LLC",www.proper.io,propermedia.mgr.consensu.org
122,Web Financial Group S.A./Vortex,www.webfinancialgroup.com/,vortex.mgr.consensu.org,
123,iubenda,www.iubenda.com ,iubenda.mgr.consensu.org,
124,LIQWID,www.liqwid.com,LIQWID.mgr.consensu.org,
125,eBay Inc,www.ebay.com,ebay.mgr.consensu.org,
126,B2B Media Group GmbH,www.selfcampaign.com,selfcampaign.mgr.consensu.org,
127,AddApptr GmbH,www.addapptr.com,N/A,
128,KnowNow Information,www.consentua.com,Consentua.mgr.consensu.org,
129,"Schibsted Classified Media Spain, S.L.",https://www.schibsted.es/,schibstedspain.mgr.consensu.org
131,Oriel Ventures,https://oriel.io/ ,oriel.mgr.consensu.org,
132,Taboola Europe Limited,www.taboola.com,taboola.mgr.consensu.org,
134,Cookiebot,www.cookiebot.com,cookiebot.mgr.consensu.org,
135,calcioinfinito srl,www.calciomercato.com,calcioinfinito.mgr.consensu.org,
136,M6 Web,http://www.groupem6.fr/,6tech.mgr.consensu.org,
139,Improve Digital International BV,www.improvedigital.com/,improvedigital.mgr.consensu.org,
141,"Wikia, Inc. (FANDOM)",www.wikia.com/fandom,fandom.mgr.consensu.org
142,Genius Sports Group Limited,www.geniussports.com,geniussports.mgr.consensu.org,
143,Microsoft Advertising,developer.microsoft.com/en-us/store/monetize/ads-in-apps,microsoftadvertising.mgr.consensu.org,
145,Car&Boat Media,www.lacentrale.fr,Lacentrale.mgr.consensu.org,
146,Tamoco Limited,www.tamoco.com,N/A,
147,Car&Boat Media,www.caradisiac.com,caradisiac.mgr.consensu.org,
148,Car&Boat Media,http://www.annoncesbateau.com/,Annoncesbateau.mgr.consensu.org,
149,Car&Boat Media,www.promoneuve.fr,promoneuve.mgr.consensu.org,
152,Teavaro Limited,http://www.teavaro.com/,fc.mgr.consensu.org,
153,Avocet Systems Limted,www.avocet.io,avocet.mgr.consensu.org,
155,Right Match Media Ltd,miboodle.com,miBoodle.mgr.consensu.org,
157,YOC AG,yoc.com,yoc.mgr.consensu.org,
161,Innity,www.innity.com,innity.mgr.consensu.org,
162,Cookie Information APS,www.cookieinformation.com,Cookieinformation.mgr.consensu.org,
163,"Centro, Inc.",https://www.centro.net/,centro.mgr.consensu.org
164,SOCIETE SAS,www.societe.com,societe.mgr.consensu.org,
165,Bidstack Limited,www.bidstack.com,bidstack.mgr.consensu.org,
167,1&1 Mail & Media GmbH,https://www.united-internet-media.de/de/home/,1und1.mgr.consensu.org,
168,Outlook.com - Microsoft Corporation,https://outlook.live.com/owa/,outlook.mgr.consensu.org,
169,Mappy,www.Mappy.com,Mappy.mgr.consensu.org,
170,AGORA SA,https://www.agora.pl/en,AGORA.mgr.consensu.org,
171,Viber Media sarl,https://www.viber.com/,viber.mgr.consensu.org,
172,Orange SA,https://www.orange.fr/portail ,orange.mgr.consensu.org,
173,Planet Media,www.planet.fr,PlanetMedia.mgr.consensu.org,
174,Groupe Sud Ouest,http://www.groupesudouest.com/,gsoi.mgr.consensu.org,
177,AuFeminin,https://www.aufeminin.com/,auf.mgr.consensu.org,
178,PRESSIMMO ON LINE,https://www.seloger.com/,Shield.mgr.consensu.org,
179,Teads SA,https://teads.tv/,Teads.mgr.consensu.org,
180,Admetrics GmbH,https://admetrics.io/en/start/,admetrics.mgr.consensu.org,
181,Marfeel Solutions S.L ,https://www.marfeel.com/,marfeel.mgr.consensu.org,
182,StreamAMP Ltd ,http://www.streamamp.com/,streamamp.mgr.consensu.org,
183,Sub2 Technologies Ltd ,http://www.sub2tech.com/,2Consent.mgr.consensu.org,
184,ASK.FM EUROPE LIMITED,https://ask.fm/,askfm.mgr.consensu.org,
185,Playwire LLC,https://www.playwire.com/,playwire.mgr.consensu.org,
186,Venatus Media Limited,https://www.venatusmedia.com/,Venatus.mgr.consensu.org,
187,Livesport Media Ltd.,http://www.livesportmedia.eu/,livesportmedia.mgr.consensu.org,
188,ADN CONTENTS,https://www.adncontents.com/,adn.mgr.consensu.org,
190,Fidzup ,https://www.fidzup.com/en/ ,fidzup.mgr.consensu.org,
191,Piwik PRO Sp. z o.o.,https://piwik.pro/,piwikpro.mgr.consensu.org,
193,RTP SA,https://www.rtp.pt/,rtp.mgr.consensu.org,
194,Spil Games B.V.,https://www.spilgames.com/,spilgames.mgr.consensu.org,
195,Totaljobs Group Ltd,https://www.totaljobs.com/,Totaljobs.mgr.consensu.org,
196,Newsroom AI Ltd.,https://www.nws.ai/ ,nws.mgr.consensu.org,
197,Publy ltd,https://www.publy.com/en/,publy.mgr.consensu.org,
198,Microsoft Casual Games,www.microsoft.com,Microsoftcasualgames.mgr.consensu.org,
199,Grindr LLC,https://www.grindr.com/,grindr.mgr.consensu.org,
200,Syrenis,www.syrenis.com/,syrenis.mgr.consensu.org,
201,"AgeCheq, Inc. dba PrivacyCheq",https://www.privacycheq.com/,consentcheq.mgr.consensu.org
203,"X-Mode Social, Inc.",http://xmode.io/,xmodesocial.mgr.consensu.org
204,Destino,https://www.desti.no/,Destinet.mgr.consensu.org,
205,Bit Q Holdings Limited ,https://bitqueen.com/,bitqueen.mgr.consensu.org,
206,PAGESJAUNES,https://www.pagesjaunes.fr/ ,pagesjaunes.mgr.consensu.org,
207,willhaben,https://www.willhaben.at/iad,willhaben.mgr.consensu.org,
208,Golden Bees,http://goldenbees.fr/ ,goldenbees.mgr.consensu.org,
209,LifeStreet Corporation,https://lifestreet.com/ ,LifeStreet.mgr.consensu.org,
210,Red Pineapple Media GmbH,http://www.redpineapplemedia.com/ ,redpineapplemedia.mgr.consensu.org,
212,Singlespot ,https://www.singlespot.com/en ,Singlespot.mgr.consensu.org,
213,Clym Ltd. ,https://www.clym.io/ ,Clym.mgr.consensu.org,
214,LBC France,https://www.leboncoin.fr/ ,lbc.mgr.consensu.org,
215,Smartclip Hispania S.L. ,http://rgpd-smartclip.com/,SmartclipLATAM.mgr.consensu.org,
216,Listonic sp. z o. o.,https://listonic.com/,listonic.mgr.consensu.org,
217,BMIND SALES MAKER COMPANY S.L. ,https://www.bmind.es/,bmind.mgr.consensu.org,
218,RCS MediaGroup S.p.A.,http://www.rcspubblicita.it/site/home.html,rcsmediagroup.mgr.consensu.org,
