ID,Company Name,Website,Sub-Domain,
66,Yieldlab AG,http://www.yieldlab.de/,yieldlab.mgr.consensu.org,
68,Transfon,uniconsent.com,uniconsent.mgr.consensu.org,
69,Gremi Media,www.gremimedia.pl,gmcmp.mgr.consensu.org,
71,Edipresse Polska,edipresse.pl,edi.mgr.consensu.org,
72,Wirtualna Polska Media,onas.wp.pl/poufnosc.html,wpm.mgr.consensu.org,
74,Relevant Digital Oy,relevant.fi/en/,relevant.mgr.consensu.org,
76,SIBBO VENTURES SLU,http://sibboventures.com/en/,sibboventures.mgr.consensu.org,
77,"Teaching Aids",admetricspro.com,cmp.mgr.consensu.org
78,Ezoic.,ezoic.com,ezoic.mgr.consensu.org,
79,SFR,www.SFR.FR,SFR.mgr.consensu.org,
80,Axel Springer,oil.axelspringer.com,OIL.mgr.consensu.org,
81,Otavamedia Oy,www.otavamedia.fi,otavamedia.mgr.consensu.org,
82,AdTech Factory & Co. KG,http://www.adtechfactory.com/,atf.mgr.consensu.org,
83,"Prisa Brand Solutions, S.L.U",https://www.prisa.com/es,prisa.mgr.consensu.org
84,Alma Media,www.almamedia.fi,almamedia.mgr.consensu.org,
85,SIPA,www.ouest-france.fr/,sipaof.mgr.consensu.org,
86,Nouw Media AB,nouw.com,nouw.mgr.consensu.org,
87,Tappcelerator Media SL,tappx.com,Tappx.mgr.consensu.org,
88,Apester,apester.com,apester.mgr.consensu.org,
89,Valnet,https://www.valnetinc.com/,valnet.mgr.consensu.org,
90,Commanders Act,www.commandersact.com,CommandersAct.mgr.consensu.org,
92,SIRDATA,www.sirdata.com,sddan.mgr.consensu.org,
93,Global Radio Services,global.com/,global.mgr.consensu.org,
94,MOTDgd,www.motdgd.com,motdgd.mgr.consensu.org,
96,Triboo Data Analytics,www.shinystat.com,shinystat.mgr.consensu.org,
97,HIRO Media,www.hiro-media.com/,hiro.mgr.consensu.org,
98,predict.io,www.predict.io,predictio.mgr.consensu.org,
99,GDPR-SDK,http://www.gdpr-sdk.com/,N/A,
100,Cambium Media,www.cambium-media.com/solutions/ ,cambiummedia.mgr.consensu.org,
101,Eulerian,www.eulerian.com,Eulerian.mgr.consensu.org,
102,GDPR Consult Plc,gdpr-protection.com/,consens.mgr.consensu.org,
103,Serinus42,www.serinus42.com,downdetector.mgr.consensu.org,
104,Gemius,www.gemius.com,gemius.mgr.consensu.org,
105,DAILYMOTION,www.dailymotion.com,dailymotion.mgr.consensu.org,
108,Trunomi,www.trunomi.com,Trunomi.mgr.consensu.org,
111,Vinted UAB,www.vinted.lt,vinted.mgr.consensu.org,
112,Guardian News and Media,www.theguardian.com,gnm.mgr.consensu.org,
113,"Grand Play Media",https://www.ultimate-guitar.com/,musiciansaudience.mgr.consensu.org
114,"Adversal Media.",www.adversal.com,adversal.mgr.consensu.org
